epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,74.184,0.54222,1.16449,13.047,0.00184,6.43713,0.6334,0.6867,0.78764,0.70195,0.63295,0.68448,0.78487,0.67368,0.55251,0.95587,7.99195,0.00209,0,0.000331768,0.000331768,0.000331768
2,137.455,0.66049,1.06496,6.8935,0.00225,4.26966,0.83188,0.82336,0.86472,0.70355,0.83593,0.82279,0.86784,0.76603,0.68123,0.79169,4.83416,0.00261,0,0.000658517,0.000658517,0.000658517
3,200.551,0.81332,1.04505,4.01798,0.0029,3.33549,0.84217,0.85261,0.88535,0.706,0.84217,0.85261,0.88535,0.7587,0.85475,0.80102,3.33605,0.00353,0,0.000978666,0.000978666,0.000978666
4,263.822,0.96016,0.87291,3.09537,0.00359,2.96263,0.83674,0.89194,0.89404,0.7069,0.83674,0.89194,0.89404,0.73865,0.80538,0.81556,1.8196,0.00306,0,0.0009703,0.0009703,0.0009703
5,336.473,0.9135,0.77862,1.9937,0.00338,2.45234,0.86405,0.86706,0.90699,0.75363,0.86405,0.86706,0.90699,0.79144,0.76703,0.60117,1.60287,0.00301,0,0.0009604,0.0009604,0.0009604
6,406.057,0.99391,0.69177,1.61232,0.00373,2.02113,0.91657,0.93383,0.95095,0.79539,0.91443,0.9316,0.94959,0.84313,0.84886,0.77615,1.13167,0.00325,0,0.0009505,0.0009505,0.0009505
7,476.142,0.88401,0.80692,1.27011,0.00305,1.72275,0.93301,0.95886,0.97395,0.82033,0.93301,0.95886,0.97245,0.85135,0.84061,0.67507,1.19991,0.00344,0,0.0009406,0.0009406,0.0009406
8,546.79,0.80937,0.63547,1.13129,0.00265,1.03606,0.91296,0.95754,0.97098,0.81631,0.91296,0.95754,0.97098,0.84221,0.66702,0.66009,0.80639,0.00263,0,0.0009307,0.0009307,0.0009307
9,615.631,0.81891,0.6004,0.92665,0.00272,0.69885,0.94033,0.91203,0.96048,0.81231,0.94033,0.91203,0.96048,0.84982,0.69887,0.59152,0.66097,0.00266,0,0.0009208,0.0009208,0.0009208
10,684.364,0.83099,0.61854,0.81007,0.00303,0.44639,0.91809,0.94278,0.97275,0.81674,0.91688,0.93457,0.96753,0.86977,0.76383,0.56185,0.8193,0.00306,0,0.0009109,0.0009109,0.0009109
11,754.117,0.72065,0.5874,0.71858,0.00241,0.24986,0.95898,0.96199,0.99383,0.88066,0.95898,0.96199,0.99383,0.88197,0.58428,0.51337,0.70727,0.00224,0,0.000901,0.000901,0.000901
12,822.869,0.70759,0.68599,0.66269,0.00232,0.1878,0.95297,0.933,0.97841,0.84659,0.95297,0.933,0.97841,0.87422,0.66728,0.54927,0.60136,0.00251,0,0.0008911,0.0008911,0.0008911
13,891.704,0.77049,0.77853,0.69003,0.00271,0.22503,0.97295,0.85023,0.86914,0.74283,0.97295,0.85023,0.86914,0.75981,0.71466,0.58361,0.63134,0.00256,0,0.0008812,0.0008812,0.0008812
14,960.709,0.76218,0.78089,0.69438,0.00251,0.31124,0.95107,0.91315,0.95859,0.84671,0.95107,0.91315,0.95859,0.84858,0.66747,0.64175,0.66526,0.00259,0,0.0008713,0.0008713,0.0008713
15,1030.57,0.72926,0.67276,0.6708,0.00251,0.24134,0.86394,0.96214,0.96446,0.85979,0.87053,0.94909,0.96266,0.84223,0.60678,0.66496,0.5909,0.00232,0,0.0008614,0.0008614,0.0008614
16,1101.38,0.69939,0.71228,0.6162,0.00243,0.14934,0.96622,0.95717,0.98672,0.87472,0.96418,0.95494,0.98472,0.87043,0.61212,0.64118,0.51871,0.00239,0,0.0008515,0.0008515,0.0008515
17,1172.87,0.67577,0.64313,0.58501,0.00246,0.14354,0.92869,0.95794,0.97257,0.87059,0.92869,0.95794,0.97257,0.84772,0.58421,0.62326,0.54542,0.00234,0,0.0008416,0.0008416,0.0008416
18,1245.79,0.70338,0.62372,0.58793,0.00252,0.19774,0.97073,0.96303,0.9798,0.88184,0.96829,0.96081,0.97785,0.88161,0.55241,0.5199,0.50015,0.00211,0,0.0008317,0.0008317,0.0008317
19,1319.71,0.66588,0.61846,0.57226,0.00237,0.25347,0.99341,0.96357,0.99205,0.88357,0.99341,0.96357,0.99205,0.87715,0.7209,0.56351,0.46264,0.00296,0,0.0008218,0.0008218,0.0008218
