epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7959,0.87528,1.75856,4.16581,0.9532,0,0.01976,0.79688,0.27814,0.22926,0.02073,0.83034,0.27688,0.22625,0.53049,0.88428,4.11998,0.81476,0,0.00032716,0.00032716,0.00032716
2,27.7346,0.67263,0.9747,2.78809,0.86057,0,0.75058,0.40254,0.61234,0.50656,0.7407,0.39447,0.59228,0.48283,0.62255,0.83271,3.1062,0.82821,0,0.000647416,0.000647416,0.000647416
3,39.5816,0.64761,0.97605,2.26922,0.85061,0,0.63198,0.75354,0.78343,0.66238,0.61986,0.73692,0.76167,0.62745,0.58823,0.79233,2.22157,0.838,0,0.000954472,0.000954472,0.000954472
4,51.6046,0.68328,1.02157,1.99755,0.85458,0,0.7766,0.80243,0.84484,0.71597,0.76635,0.79075,0.83585,0.71691,0.59265,0.73226,2.04415,0.83586,0,0.0009406,0.0009406,0.0009406
5,63.8681,0.61583,0.85682,1.76626,0.8512,0,0.87006,0.82917,0.89429,0.77961,0.86783,0.82695,0.89316,0.75523,0.54517,0.70834,1.76186,0.83172,0,0.0009208,0.0009208,0.0009208
6,75.9926,0.57016,0.84876,1.6578,0.83589,0,0.87768,0.86804,0.91123,0.80434,0.86922,0.85582,0.89901,0.77364,0.49637,0.73651,1.52408,0.82439,0,0.000901,0.000901,0.000901
7,88.1597,0.59371,0.93442,1.51803,0.83399,0,0.92079,0.90974,0.93571,0.83058,0.90804,0.89641,0.92516,0.8067,0.48247,0.66586,1.43085,0.82081,0,0.0008812,0.0008812,0.0008812
8,100.178,0.56386,0.80453,1.53938,0.83752,0,0.87131,0.93329,0.95371,0.83933,0.86915,0.93106,0.95304,0.82789,0.46582,0.61914,1.49212,0.81586,0,0.0008614,0.0008614,0.0008614
9,112.005,0.53313,0.73498,1.39435,0.82778,0,0.92821,0.9149,0.95031,0.84093,0.92821,0.9149,0.95031,0.83658,0.49604,0.57297,1.28812,0.81697,0,0.0008416,0.0008416,0.0008416
10,124.002,0.52329,0.76908,1.38532,0.8295,0,0.97807,0.9216,0.97656,0.87099,0.92245,0.95902,0.97407,0.84442,0.43373,0.61608,1.25727,0.81262,0,0.0008218,0.0008218,0.0008218
11,135.98,0.51199,0.77713,1.33199,0.83775,0,0.9662,0.96443,0.98206,0.85762,0.9662,0.96443,0.98234,0.85102,0.46396,0.60091,1.24312,0.81977,0,0.000802,0.000802,0.000802
12,148.093,0.53233,0.77306,1.21646,0.8371,0,0.96781,0.95747,0.98764,0.8799,0.96781,0.95747,0.98769,0.86643,0.42924,0.56873,1.1627,0.81577,0,0.0007822,0.0007822,0.0007822
13,160.023,0.48611,0.7729,1.16534,0.81925,0,0.94587,0.97219,0.98568,0.88297,0.94359,0.96997,0.98306,0.86694,0.43989,0.57215,1.09427,0.81658,0,0.0007624,0.0007624,0.0007624
14,172.036,0.49203,0.7017,1.09482,0.83014,0,0.96778,0.96707,0.98767,0.90344,0.96333,0.96281,0.98292,0.86373,0.4092,0.5837,1.04612,0.81883,0,0.0007426,0.0007426,0.0007426
15,183.826,0.48942,0.70106,1.14032,0.83293,0,0.95562,0.98544,0.98831,0.90152,0.95562,0.98544,0.98831,0.87218,0.41289,0.50949,1.03357,0.8165,0,0.0007228,0.0007228,0.0007228
16,195.881,0.46144,0.66039,1.08531,0.8156,0,0.9565,0.98026,0.98865,0.90384,0.9565,0.98026,0.98865,0.88096,0.3853,0.49756,0.98779,0.80926,0,0.000703,0.000703,0.000703
17,207.952,0.45542,0.67204,0.96692,0.8126,0,0.98723,0.97064,0.99304,0.90588,0.98723,0.97064,0.99304,0.89606,0.39426,0.47192,0.92987,0.81096,0,0.0006832,0.0006832,0.0006832
18,219.814,0.45065,0.62497,0.92462,0.81842,0,0.9831,0.97525,0.99148,0.90877,0.98279,0.97553,0.99153,0.89321,0.38746,0.48818,0.89932,0.81056,0,0.0006634,0.0006634,0.0006634
19,231.619,0.45469,0.70616,0.95093,0.82418,0,0.98208,0.97805,0.99317,0.90484,0.98208,0.97805,0.99317,0.87582,0.38837,0.54026,0.89436,0.8095,0,0.0006436,0.0006436,0.0006436
20,243.458,0.44014,0.73347,0.93204,0.8152,0,0.98549,0.97672,0.99238,0.90008,0.9809,0.97234,0.98767,0.85586,0.38073,0.57442,0.85803,0.80879,0,0.0006238,0.0006238,0.0006238
21,255.284,0.46053,0.65684,0.8685,0.82289,0,0.99072,0.98768,0.9942,0.9083,0.99072,0.98768,0.9942,0.8787,0.40073,0.49846,0.86847,0.80969,0,0.000604,0.000604,0.000604
22,267.196,0.41615,0.66422,0.91398,0.81064,0,0.99288,0.99036,0.99455,0.91748,0.99288,0.99036,0.99455,0.87794,0.37802,0.48899,0.80409,0.80716,0,0.0005842,0.0005842,0.0005842
23,279.605,0.43726,0.65593,0.81876,0.80839,0,0.98562,0.99385,0.99454,0.9086,0.98562,0.99385,0.99454,0.88606,0.37076,0.4849,0.81129,0.80697,0,0.0005644,0.0005644,0.0005644
24,292.175,0.41023,0.62894,0.7996,0.80029,0,0.98544,0.99604,0.99496,0.92703,0.98544,0.99604,0.99496,0.88716,0.34829,0.47519,0.76362,0.80425,0,0.0005446,0.0005446,0.0005446
25,306.102,0.40657,0.56404,0.76462,0.8093,0,0.98979,0.99665,0.99492,0.92443,0.98979,0.99665,0.99492,0.89339,0.35289,0.46087,0.75242,0.80551,0,0.0005248,0.0005248,0.0005248
26,318.717,0.40486,0.60836,0.73383,0.8028,0,0.98332,0.99235,0.99472,0.9364,0.98332,0.99235,0.99472,0.88065,0.35359,0.46858,0.7399,0.8063,0,0.000505,0.000505,0.000505
27,330.837,0.39771,0.63323,0.77994,0.80395,0,0.98658,0.99064,0.99446,0.92881,0.98658,0.99064,0.99446,0.89093,0.34098,0.45539,0.71932,0.80447,0,0.0004852,0.0004852,0.0004852
28,343.082,0.38746,0.58052,0.74748,0.80325,0,0.99391,0.98464,0.99436,0.93584,0.99391,0.98464,0.99436,0.88657,0.33784,0.47333,0.69012,0.80191,0,0.0004654,0.0004654,0.0004654
29,355.618,0.39479,0.58904,0.69388,0.80684,0,0.99591,0.99081,0.9946,0.93899,0.99591,0.99081,0.9946,0.87687,0.33269,0.50234,0.68808,0.80259,0,0.0004456,0.0004456,0.0004456
30,368.31,0.39045,0.59346,0.69426,0.80132,0,0.9825,0.99668,0.99463,0.93038,0.9825,0.99668,0.99463,0.88869,0.34056,0.47264,0.68591,0.80192,0,0.0004258,0.0004258,0.0004258
31,380.668,0.37328,0.6092,0.67452,0.80168,0,0.98787,0.99018,0.99483,0.93991,0.98787,0.99018,0.99483,0.89034,0.32479,0.45236,0.67482,0.80034,0,0.000406,0.000406,0.000406
32,393.115,0.3703,0.59181,0.69266,0.79737,0,0.99069,0.99223,0.99491,0.92756,0.99069,0.99223,0.99491,0.89233,0.32737,0.45313,0.64803,0.80032,0,0.0003862,0.0003862,0.0003862
33,405.568,0.35794,0.55974,0.69428,0.79753,0,0.9959,0.99537,0.99489,0.9342,0.9959,0.99537,0.99489,0.88785,0.33049,0.43334,0.63512,0.80152,0,0.0003664,0.0003664,0.0003664
34,418.489,0.36236,0.54433,0.63728,0.80231,0,0.99046,0.99039,0.99485,0.93602,0.99046,0.99039,0.99485,0.89211,0.31967,0.4384,0.62766,0.80128,0,0.0003466,0.0003466,0.0003466
35,431.965,0.37184,0.5313,0.64716,0.79485,0,0.98658,0.99428,0.99496,0.93093,0.98658,0.99428,0.99496,0.8952,0.32143,0.4251,0.62291,0.80034,0,0.0003268,0.0003268,0.0003268
36,444.972,0.37822,0.61582,0.62609,0.80468,0,0.99248,0.99473,0.995,0.93499,0.99248,0.99473,0.995,0.89151,0.32677,0.43145,0.61273,0.80197,0,0.000307,0.000307,0.000307
37,458.164,0.37911,0.58568,0.63187,0.80481,0,0.99647,0.99668,0.995,0.94404,0.99647,0.99668,0.995,0.89733,0.30472,0.4398,0.60483,0.7989,0,0.0002872,0.0002872,0.0002872
